REPORTER METABOLITES USING TEST TYPE: all
ID	NAME	Z-SCORE	P-VALUE	NUMBER OF NEIGHBOURS	AVERAGE Z-SCORE	STD Z-SCORE
m00599c	20-OH-LTB4[Cytosol]	3.8133	6.8559e-05	6	13.3788	8.375
m00599r	20-OH-LTB4[Endoplasmic reticulum]	3.8133	6.8559e-05	6	13.3788	8.375
m01648c	decanoic acid[Cytosol]	3.7932	7.4345e-05	14	10.4629	8.8486
m02108c	heptylic acid[Cytosol]	3.7932	7.4345e-05	14	10.4629	8.8486
m02120c	hexanoic acid[Cytosol]	3.7932	7.4345e-05	14	10.4629	8.8486
m02614c	nonanoic acid[Cytosol]	3.7932	7.4345e-05	14	10.4629	8.8486
m02642c	octanoic acid[Cytosol]	3.7932	7.4345e-05	14	10.4629	8.8486
m03117c	undecylic acid[Cytosol]	3.7932	7.4345e-05	14	10.4629	8.8486
m03134c	valeric acid[Cytosol]	3.7932	7.4345e-05	14	10.4629	8.8486
m01982c	glycerate[Cytosol]	3.7832	7.7406e-05	7	12.7119	4.6499
m01252m	acetate[Mitochondria]	3.7427	9.1042e-05	9	11.6816	5.1518
m02165m	imidazole-4-acetaldehyde[Mitochondria]	3.6452	0.00013361	3	16.2369	3.8949
m02166m	imidazole-4-acetate[Mitochondria]	3.6452	0.00013361	3	16.2369	3.8949
m02168m	indole-3-acetaldehyde[Mitochondria]	3.6452	0.00013361	3	16.2369	3.8949
m02169m	indoleacetate[Mitochondria]	3.6452	0.00013361	3	16.2369	3.8949
m01255p	acetoacetyl-CoA[Peroxisome]	3.6327	0.00014022	4	14.742	4.0937
m00585c	20-COOH-LTB4[Cytosol]	3.5413	0.0001991	12	10.5272	6.4494
m00585r	20-COOH-LTB4[Endoplasmic reticulum]	3.5413	0.0001991	12	10.5272	6.4494
m01700c	dihydrofolate[Cytosol]	3.4493	0.00028105	3	15.6372	10.2282
m02980c	THF[Cytosol]	3.4417	0.00028906	12	10.3743	7.4732
m01982m	glycerate[Mitochondria]	3.4377	0.00029339	6	12.5624	5.0753
m00257c	10,11-dihydro-LTB4[Cytosol]	3.3908	0.0003485	12	10.2962	6.2249
m00814p	3-keto-THA-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00840p	3-oxo-11-cis-eicosenoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00841p	3-oxo-11-cis-octadecenoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00842p	3-oxo-13cis-docosenoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00843p	3-oxo-13-cis-eicosenoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00849p	3-oxo-7-hexadecenoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00854p	3-oxo-cis,cis-5,8-tetradecadienoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00855p	3-oxo-cis,cis-7,10-hexadecadienoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00856p	3-oxo-cis-15-tetracosaenoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00858p	3-oxodecanoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00866p	3-oxodocosanoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00868p	3-oxododecanoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00872p	3-oxoeicosanoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00878p	3-oxohexacosanoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00879p	3-oxo-hexacosenoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00882p	3-oxohexanoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00883p	3-oxolaur-6-cis-enoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00884p	3-oxolinoleoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00885p	3-oxomyrist-5-enoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00886p	3-oxomyrist-7-enoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00890p	3-oxooctadecanoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00892p	3-oxooctanoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00893p	3-oxooleoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00894p	3-oxopalmitoleoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00895p	3-oxopalmitoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00904p	3-oxotetracosanoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00906p	3-oxotetradecanoyl-CoA[Peroxisome]	3.3856	0.00035512	3	15.4423	5.2903
m00979c	4-cholesten-7alpha,27-diol-3-one[Cytosol]	3.3765	0.00036704	2	17.7444	15.7471
m01981m	glyceraldehyde[Mitochondria]	3.3495	0.00040484	11	10.4409	7.7375
m01394c	betaine_aldehyde[Cytosol]	3.2916	0.00049813	2	17.4257	3.5375
m01394m	betaine_aldehyde[Mitochondria]	3.2916	0.00049813	2	17.4257	3.5375
m00257r	10,11-dihydro-LTB4[Endoplasmic reticulum]	3.2284	0.00062245	10	10.48	6.8646
m02578m	NH3[Mitochondria]	3.2114	0.00066045	8	11.1288	6.8786
m00952c	4-acetamidobutanoate[Cytosol]	3.1986	0.00069058	5	12.6831	5.6647
m01249m	acetaldehyde[Mitochondria]	3.1986	0.00069058	5	12.6831	5.6647
m01681c	D-glucarate[Cytosol]	3.1986	0.00069058	5	12.6831	5.6647
m01685c	D-glucurono-6,3-lactone[Cytosol]	3.1986	0.00069058	5	12.6831	5.6647
m01997m	glycolaldehyde[Mitochondria]	3.1986	0.00069058	5	12.6831	5.6647
m01998m	glycolate[Mitochondria]	3.1986	0.00069058	5	12.6831	5.6647
m02166c	imidazole-4-acetate[Cytosol]	3.1986	0.00069058	5	12.6831	5.6647
m01393c	betaine[Cytosol]	3.1767	0.00074471	4	13.5299	8.2561
m01045c	5,10-methylene-THF[Cytosol]	3.1385	0.00084906	4	13.4283	4.3322
m02168c	indole-3-acetaldehyde[Cytosol]	3.1213	0.00090034	7	11.3791	5.3557
m01383c	beta-alanine[Cytosol]	3.117	0.00091357	9	10.579	6.2946
m01255c	acetoacetyl-CoA[Cytosol]	3.1133	0.00092495	2	16.7567	4.7211
m01789s	estrone 3-sulfate[Extracellular]	3.0887	0.0010053	4	13.2958	12.4029
m02644c	octanoyl-CoA[Cytosol]	3.0794	0.0010372	9	10.5127	7.3467
m00101c	(5Z,8Z,11Z)-eicosatrienoyl-CoA[Cytosol]	3.0609	0.0011034	16	9.148	6.625
m01934c	gamma-linolenoyl-CoA[Cytosol]	3.0609	0.0011034	16	9.148	6.625
m01249c	acetaldehyde[Cytosol]	3.0538	0.0011298	9	10.4677	6.4631
m02662m	oxalosuccinate[Mitochondria]	3.0517	0.0011377	1	21.2615	0
m01106c	5-hydroxykynurenine[Cytosol]	3.0298	0.0012235	2	16.4433	7.6478
m01998c	glycolate[Cytosol]	3.0004	0.0013482	6	11.6122	4.8665
m00091p	(4Z,7Z,10Z)-hexadecatrienoyl-CoA[Peroxisome]	2.9783	0.0014493	1	20.8722	0
m00095p	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[Peroxisome]	2.9783	0.0014493	1	20.8722	0
m00834p	3-oxo-(6Z,9Z,12Z)-octadecatrienoyl-CoA[Peroxisome]	2.9783	0.0014493	1	20.8722	0
m00123c	(8Z,11Z)-eicosadienoyl-CoA[Cytosol]	2.9776	0.0014527	21	8.5417	6.2778
m00326r	12-keto-LTB4[Endoplasmic reticulum]	2.9652	0.0015124	5	12.1286	5.199
m03055c	trioxilin A3[Cytosol]	2.9466	0.0016065	2	16.1309	2.6303
m03055r	trioxilin A3[Endoplasmic reticulum]	2.9466	0.0016065	2	16.1309	2.6303
m02746c	phytanic acid[Cytosol]	2.9286	0.0017023	1	20.6089	0
m02746p	phytanic acid[Peroxisome]	2.9286	0.0017023	1	20.6089	0
m02747c	phytanoyl-CoA[Cytosol]	2.9286	0.0017023	1	20.6089	0
m02747p	phytanoyl-CoA[Peroxisome]	2.9286	0.0017023	1	20.6089	0
m02718c	phenethylamine[Cytosol]	2.9229	0.001734	5	12.0281	7.3823
m00255c	10,11-dihydro-20-dihydroxy-LTB4[Cytosol]	2.9024	0.0018515	3	13.963	6.433
m00255r	10,11-dihydro-20-dihydroxy-LTB4[Endoplasmic reticulum]	2.9024	0.0018515	3	13.963	6.433
m00256c	10,11-dihydro-20-trihydroxy-LTB4[Cytosol]	2.9024	0.0018515	3	13.963	6.433
m00256r	10,11-dihydro-20-trihydroxy-LTB4[Endoplasmic reticulum]	2.9024	0.0018515	3	13.963	6.433
m00330c	12-oxo-20-dihydroxy-LTB4[Cytosol]	2.9024	0.0018515	3	13.963	6.433
m00330r	12-oxo-20-dihydroxy-LTB4[Endoplasmic reticulum]	2.9024	0.0018515	3	13.963	6.433
m00331c	12-oxo-20-hydroxy-LTB4[Cytosol]	2.9024	0.0018515	3	13.963	6.433
m00331r	12-oxo-20-hydroxy-LTB4[Endoplasmic reticulum]	2.9024	0.0018515	3	13.963	6.433
m00332c	12-oxo-20-trihydroxy-LTB4[Cytosol]	2.9024	0.0018515	3	13.963	6.433
m00332r	12-oxo-20-trihydroxy-LTB4[Endoplasmic reticulum]	2.9024	0.0018515	3	13.963	6.433
m00588r	20-dihydroxy-LTB4[Endoplasmic reticulum]	2.9024	0.0018515	3	13.963	6.433
m00597c	20-OH-10,11-dihydro-LTB4[Cytosol]	2.9024	0.0018515	3	13.963	6.433
m00597r	20-OH-10,11-dihydro-LTB4[Endoplasmic reticulum]	2.9024	0.0018515	3	13.963	6.433
m00598r	20-OH-hepoxilin A3[Endoplasmic reticulum]	2.9024	0.0018515	3	13.963	6.433
m00602r	20-trihydroxy-LTB4[Endoplasmic reticulum]	2.9024	0.0018515	3	13.963	6.433
m00726c	3,4-dihydroxymandelaldehyde[Cytosol]	2.8957	0.0018918	5	11.9634	8.2942
m02519c	Na+[Cytosol]	2.8936	0.0019045	53	7.1913	7.4162
m02519s	Na+[Extracellular]	2.8936	0.0019045	53	7.1913	7.4162
m02096c	hepoxilin A3[Cytosol]	2.8838	0.0019644	9	10.1681	7.3528
m01981c	glyceraldehyde[Cytosol]	2.8559	0.002146	14	9.1346	7.5708
m02552m	NAD+[Mitochondria]	2.852	0.0021721	104	6.5695	4.9673
m02553m	NADH[Mitochondria]	2.852	0.0021721	104	6.5695	4.9673
m02724c	phenylalanine[Cytosol]	2.8163	0.0024288	24	8.1414	7.4427
m01393m	betaine[Mitochondria]	2.8	0.0025549	1	19.927	0
m02040p	H2O[Peroxisome]	2.7887	0.0026462	17	8.6968	5.3327
m00134c	(9Z,12Z,15Z,18Z,21Z)-tetracosapentaenoyl-CoA[Cytosol]	2.7861	0.002667	18	8.574	6.5782
m00616c	25(R)THCA-CoA[Cytosol]	2.7741	0.0027673	3	13.5703	7.6486
m00616p	25(R)THCA-CoA[Peroxisome]	2.7741	0.0027673	3	13.5703	7.6486
m01277c	acyl-CoA-LD-TG3 pool[Cytosol]	2.761	0.0028815	4	12.4248	5.0998
m01715c	D-lactaldehyde[Cytosol]	2.7598	0.0028919	6	11.0894	8.1028
m01962c	glucosamine[Cytosol]	2.7564	0.0029222	6	11.0819	8.7263
m00367c	14-demethyllanosterol[Cytosol]	2.7427	0.0030465	4	12.3763	9.2326
m00943c	4,4-dimethyl-5alpha-cholesta-8-en-3-beta-ol[Cytosol]	2.7427	0.0030465	4	12.3763	9.2326
m00113c	(6Z,9Z,12Z,15Z,18Z,21Z)-tetracosahexaenoyl-CoA[Cytosol]	2.727	0.0031958	17	8.617	6.778
m02647c	oleoyl-CoA[Cytosol]	2.7039	0.0034269	28	7.7939	6.0804
m00768c	3-dehydro-L-gulonate[Cytosol]	2.689	0.0035831	1	19.3384	0
m02039r	H+[Endoplasmic reticulum]	2.6879	0.0035955	51	7.0913	6.6205
m00095m	(4Z,7Z,10Z,13Z,16Z,19Z)-docosahexaenoyl-CoA[Mitochondria]	2.679	0.0036925	12	9.2036	6.4974
m00119m	(7Z,10Z,13Z,16Z)-docosatetraenoyl-CoA[Mitochondria]	2.679	0.0036925	12	9.2036	6.4974
m01236m	9-eicosenoyl-CoA[Mitochondria]	2.679	0.0036925	12	9.2036	6.4974
m02390m	linolenoyl-CoA[Mitochondria]	2.679	0.0036925	12	9.2036	6.4974
m03101c	tyrosine[Cytosol]	2.6635	0.0038663	19	8.3352	7.7639
m02041p	H2O2[Peroxisome]	2.6437	0.0041	9	9.745	5.3326
m02630p	O2[Peroxisome]	2.6437	0.0041	9	9.745	5.3326
m00957c	4alpha-formyl-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[Cytosol]	2.631	0.0042573	2	14.9464	4.655
m00958c	4alpha-formyl-4beta-methyl-5alpha-cholesta-8-en-3beta-ol[Cytosol]	2.631	0.0042573	2	14.9464	4.655
m00959c	4alpha-formyl-5alpha-cholesta-8,24-dien-3beta-ol[Cytosol]	2.631	0.0042573	2	14.9464	4.655
m00960c	4alpha-formyl-5alpha-cholesta-8-en-3beta-ol[Cytosol]	2.631	0.0042573	2	14.9464	4.655
m00961c	4alpha-hydroxymethyl-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[Cytosol]	2.631	0.0042573	2	14.9464	4.655
m00962c	4alpha-hydroxymethyl-4beta-methyl-5alpha-cholesta-8-en-3beta-ol[Cytosol]	2.631	0.0042573	2	14.9464	4.655
m00963c	4alpha-hydroxymethyl-5alpha-cholesta-8,24-dien-3beta-ol[Cytosol]	2.631	0.0042573	2	14.9464	4.655
m00964c	4alpha-hydroxymethyl-5alpha-cholesta-8-en-3beta-ol[Cytosol]	2.631	0.0042573	2	14.9464	4.655
m02839c	reverse triiodthyronine[Cytosol]	2.6163	0.0044443	2	14.8915	16.7097
m02998c	thyroxine[Cytosol]	2.6163	0.0044443	2	14.8915	16.7097
m00106c	(6Z,9Z)-octadecadienoyl-CoA[Cytosol]	2.6159	0.0044498	22	8.0473	6.2383
m00108c	(6Z,9Z,12Z,15Z)-octadecatetraenoyl-CoA[Cytosol]	2.6159	0.0044498	22	8.0473	6.2383
m02169c	indoleacetate[Cytosol]	2.6105	0.0045204	7	10.3508	6.1075
m01840s	fructose[Extracellular]	2.6084	0.0045484	7	10.3465	11.6479
m01261m	acetyl-CoA[Mitochondria]	2.5841	0.0048818	29	7.6354	5.6127
m02390c	linolenoyl-CoA[Cytosol]	2.5781	0.0049668	26	7.7771	6.1021
m02439c	malate[Cytosol]	2.5729	0.0050426	6	10.6832	4.2339
m02853c	S-(2,2-dichloro-1-hydroxy)ethyl glutathione[Cytosol]	2.5711	0.0050695	12	9.038	7.0045
m01796c	ethanol[Cytosol]	2.564	0.0051741	4	11.9011	9.5824
m02759p	PPi[Peroxisome]	2.5611	0.005217	13	8.8616	5.261
m02354c	L-dopa[Cytosol]	2.5537	0.0053299	1	18.6207	0
m02354s	L-dopa[Extracellular]	2.5537	0.0053299	1	18.6207	0
m01968r	glucose-6-phosphate[Endoplasmic reticulum]	2.5523	0.0053511	5	11.1474	6.5956
m00004c	(10Z)-heptadecenoyl-CoA[Cytosol]	2.5518	0.0053584	15	8.5702	6.1271
m00020c	(13Z)-octadecenoyl-CoA[Cytosol]	2.5518	0.0053584	15	8.5702	6.1271
m00118c	(7Z)-tetradecenoyl-CoA[Cytosol]	2.5518	0.0053584	15	8.5702	6.1271
m00127c	(9E)-octadecenoyl-CoA[Cytosol]	2.5518	0.0053584	15	8.5702	6.1271
m00129c	(9E)-tetradecenoyl-CoA[Cytosol]	2.5518	0.0053584	15	8.5702	6.1271
m02456c	margaric acid[Cytosol]	2.5456	0.0054544	18	8.2729	7.612
m02674c	palmitate[Cytosol]	2.5456	0.0054544	18	8.2729	7.612
m00754p	3alpha,7alpha-dihydroxy-24-oxo-5beta-cholestanoyl coa[Peroxisome]	2.5254	0.0057791	3	12.8086	7.1481
m02040r	H2O[Endoplasmic reticulum]	2.521	0.0058519	72	6.66	6.2744
m00730c	3,4-dihydroxyphenylethyleneglycol[Cytosol]	2.5208	0.005855	3	12.7946	11.5302
m00003c	(10Z)-heptadecenoic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m00008c	(11Z,14Z)-eicosadienoic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m00010c	(11Z,14Z,17Z)-eicosatrienoic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m00017c	(13Z)-eicosenoic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m00019c	(13Z)-octadecenoic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m00021c	(13Z,16Z)-docosadienoic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m00094c	(4Z,7Z,10Z,13Z,16Z)-DPA[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m00104c	(6Z,9Z)-octadecadienoic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m00111c	(6Z,9Z,12Z,15Z,18Z)-TPA[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m00114c	(6Z,9Z,12Z,15Z,18Z,21Z)-THA[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m00115c	(7Z)-octadecenoic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m00117c	(7Z)-tetradecenoic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m00128c	(9E)-tetradecenoic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m00132c	(9Z,12Z,15Z,18Z)-TTA[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m00135c	(9Z,12Z,15Z,18Z,21Z)-TPA[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m00260c	10,13,16,19-docosatetraenoic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m00315c	12,15,18,21-tetracosatetraenoic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m00341c	13,16,19-docosatrienoic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m01235c	9-eicosenoic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m01291c	adrenic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m01373c	behenic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m01582c	cis-cetoleic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m01585c	cis-vaccenic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m01778c	elaidate[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m01932c	gamma-linolenate[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m02053c	henicosanoic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m02457c	mead acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m02564c	nervonic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m02613c	nonadecylic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m02648c	omega-3-arachidonic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m02939c	stearidonic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m03051c	tridecylic acid[Cytosol]	2.5157	0.0059391	16	8.4237	7.9755
m01965c	glucose[Cytosol]	2.5135	0.005977	23	7.8616	7.725
m01105c	5-hydroxykynurenamine[Cytosol]	2.4887	0.0064099	3	12.6965	8.3576
m03088c	tryptamine[Cytosol]	2.4887	0.0064099	3	12.6965	8.3576
m00019r	(13Z)-octadecenoic acid[Endoplasmic reticulum]	2.4846	0.0064856	9	9.4645	6.626
m00111r	(6Z,9Z,12Z,15Z,18Z)-TPA[Endoplasmic reticulum]	2.4846	0.0064856	9	9.4645	6.626
m00132r	(9Z,12Z,15Z,18Z)-TTA[Endoplasmic reticulum]	2.4846	0.0064856	9	9.4645	6.626
m00265r	10,13,16-docosatriynoic acid[Endoplasmic reticulum]	2.4846	0.0064856	9	9.4645	6.626
m00006c	(11Z)-docosenoyl-CoA[Cytosol]	2.4771	0.0066218	14	8.5979	5.9371
m00023c	(13Z,16Z)-docosadienoyl-CoA[Cytosol]	2.4771	0.0066218	14	8.5979	5.9371
m00343c	13,16,19-docosatrienoyl-CoA[Cytosol]	2.4771	0.0066218	14	8.5979	5.9371
m00967c	4alpha-methyl-cholesta-8-enol[Cytosol]	2.4676	0.0068011	3	12.6318	5.1871
m00968c	4alpha-methylzymosterol[Cytosol]	2.4676	0.0068011	3	12.6318	5.1871
m00265c	10,13,16-docosatriynoic acid[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m01197c	7-palmitoleic acid[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m01207c	8,11-eicosadienoic acid[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m01238c	9-heptadecylenic acid[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m01432c	cerotic acid[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m01583c	cis-erucic acid[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m01584c	cis-gondoic acid[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m01689c	DHA[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m01696c	dihomo-gamma-linolenate[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m01741c	DPA[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m01771c	eicosanoate[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m01784c	EPA[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m02344c	lauric acid[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m02385c	lignocerate[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m02389c	linolenate[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m02494c	myristic acid[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m02646c	oleate[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m02675c	palmitolate[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m02690c	pentadecylic acid[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m02745c	physeteric acid[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m02938c	stearate[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m03045c	tricosanoic acid[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m03153c	ximenic acid[Cytosol]	2.463	0.0068888	20	7.9972	7.5111
m01141c	5-tetradecenoyl-CoA[Cytosol]	2.4628	0.0068929	19	8.0904	5.987
m01191c	7-hexadecenoyl-CoA[Cytosol]	2.4628	0.0068929	19	8.0904	5.987
m01237c	9-heptadecenoyl-CoA[Cytosol]	2.4628	0.0068929	19	8.0904	5.987
m02495c	myristoyl-CoA[Cytosol]	2.4628	0.0068929	19	8.0904	5.987
m02677c	palmitoleoyl-CoA[Cytosol]	2.4628	0.0068929	19	8.0904	5.987
m00953c	4alpha-carboxy-4beta-methyl-5alpha-cholesta-8,24-dien-3beta-ol[Cytosol]	2.462	0.0069078	3	12.6148	5.21
m00954c	4alpha-carboxy-4beta-methyl-5alpha-cholesta-8-en-3beta-ol[Cytosol]	2.462	0.0069078	3	12.6148	5.21
m00955c	4alpha-carboxy-5alpha-cholesta-8,24-dien-3beta-ol[Cytosol]	2.462	0.0069078	3	12.6148	5.21
m00956c	4alpha-carboxy-5alpha-cholesta-8-en-3beta-ol[Cytosol]	2.462	0.0069078	3	12.6148	5.21
m01102c	5-hydroxyindoleacetaldehyde[Cytosol]	2.4584	0.0069773	5	10.9245	8.748
m00631m	2-aminoadipate 6-semialdehyde[Mitochondria]	2.4574	0.0069973	3	12.6006	6.528
m01261p	acetyl-CoA[Peroxisome]	2.4561	0.007022	7	10.0399	8.5558
